意味,言語
私,ほ
あなた,た
彼,ひ
彼女,は
誰,たに
これ,そね
それ,わね
あれ,てね
何,もね
この,そと
その,わと
あの,てと
何の、どの,もと
１,だ
２,が
３,じ
４,ぞ
５,ば
６,ど
７,ぎ
８,で
９,ぐ
１０,げ
１００,づ
１０００,ぼ
１００００,ぶ
～月,まぐ
時間の単位15分,くあ　
時間の単位2時間,らな
精神,やふ
今,ちな
肉体,らそ
なぜ,べう
長い,らん
熊,たく
能力,きう
会う,めふ
合う,たら
ある、いる、存在する,だい
足（全体）,まえ
朝,さら
空気,くら
髪の毛,へか
切る,かう
飲む,とえ
味わう,てわり
～だが,べか
よそ者,あら
殺す,けい
剣,そど
感じる,ふく
風,やさ
頭,わり
父,ふら
心臓,をう
着る,せく
来る,おせ
国、故郷,こう
口,りふ
強い,すつ
～または,どん
良い,おう
～できる,らう
夜,らろ
さらに、より一層,もら
手,へ
優秀な,かあ
指,まう
腕,もあ
異なる,ほり
立つ,すて
違い,てい
従う,しえ
仕事をする,ゆえ
土、地面,たいえ
顔,わう
爪,うお
谷,かく
日、昼,うら
法則,ふおう
母,らいえ
歯,まかい
鼻,まお
方向,あけ
腹,らた
走る,るん
火,てる
～したい,ざい
欲する,る
劣った,のう
～するらしい,だう
いいえ,はん
もの、こと,よう
それぞれ,えい
記憶する、覚えている,ようえ
思う、考える,よな
同じ,さす
分割する,ひふ
悪い,どす
割る,へほ
変わる,かれい
戻る、帰る,はく
過去,わは
蹴る,らき
目,なら
耳,ねす
水,まり
短い,ふみ
学ぶ,たを
持つ,へう
～もまた,がず
守る,ちえい
山,もえう
持つ,えいと
果実,たう
時間,うよう
死ぬ,れい
弱い,ふるあ
少ない、小さい,さない
舌,おる
年齢、～歳,あれ
～および、そして、すると,ぼん
多い,さて
単語、発言、～語,ほす
動く,もう
湖,らつ
～せねばならぬ,ごね
さあ,ぱら
息をする,ねあ
言う,くう
もうすぐ,ぶんな
いまだ,のえ
行く、逃げる,わる
～師匠,るる
大きい,へいく
～様（尊敬）,そん
太陽,ふぁいす
才能,ねと
月,なす
知っている,ありぬ
しかし,ぱり
いつ,うほ
未来,むい
いつか,ほうえ
はい、やあ,じあ
である,づえ
生きる,ありあ
男、男性,さおね
さもないと,ぞうん
女、女性,よんの
足（全体）,ろうい
すぐに,てやい
試合,がいむ
～する,つす
よくやった,らあいあ
～は,ずん
～が,ざ
～の,ぐん
～に,べ
～を,ぽう
～から、によって,でん
～で,べん
～と共に,ぜな
～の後,ずい
～の前,ぶざ
～のような,どず
～たち,ぱう
過去形,ーが
未来形,ーあ
現在分詞形,ーば
過去分詞形,ーざ
未来分詞形,ーだ
仮定形,でんー
疑問文,ーぼえ
否定文,ーな
受動態,ーほ
ーしたい,ぽん
ーできる,ぺお
ーせねばならぬ,だす
～です,.